NO,   as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
YES,   boy dats coldtyga dwn bad for cuffin dat hoe in the st place
YES,   dawg   you ever fuck a bitch and she sta to cry you be confused as shit
YES,  ganderson based she look like a tranny
YES,   the shit you hear about me might be true or it might be faker than the bitch who told it to ya 
YES,madisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 
YES,brighterdays i can not just sit up and hate on another bitch  i got too much shit going on
YES, cause im tired of you big bitches coming for us skinny girls
YES, amp you might not get ya bitch back amp thats that 
YES,  hobbies include fighting mariam
YES, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
YES, murda gang bitch its gang land 
YES, so hoes that smoke are losers   yea  go on ig
YES, bad bitches is the only thing that i like 
YES, bitch get up off me 
YES, bitch nigga miss me with it 
YES, bitch plz whatever 
YES, bitch who do you love 
YES, bitches get cut off everyday b 
YES, black bottle amp a bad bitch 
YES, broke bitch cant tell me nothing 
YES, cancel that bitch like nino 
YES, cant you see these hoes wont change 
YES, fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up
YES, got ya bitch tip toeing on my hardwood floors   
YES, her pussy lips like heaven doors  
YES, hoe what its hitting for 
YES, i met that pussy on ocean dr  i gave that pussy a pill  
YES, i need a trippy bitch who fuck on hennessy 
YES, i spend my money how i want bitch its my business 
YES, i txt my old bitch my new bitch pussy wetter 
YES, id say im back to the old me but my old bitches would get excited  
YES, if you aint bout that murder game pussy nigga shut up 
YES, if youre toes aint done you pussy stinks 
YES, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
YES, is that ya bitch 
YES, it aint nothing to cut a bitch off 
YES, jus meet son now he ya mane ass bitches  shots
YES, lames crying over hoes thats tears of a clown 
YES, like snoop said in  we dont love these hoes 
NO, momma said no pussy cats inside my doghouse 
YES, most hated but the hoes favorite  mw sevenone  
YES, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick 
YES, pimps up pimps up hoes down  future voice
YES, post a picture of that pussy get  likes 
YES, pussy is a powerful drug   happyhumpday 
YES, quick piece of pussy call it a drive by 
YES, running round here like some brand new pussy thats bout to get fucked 
YES, these bitches even worst theyll send them guys for you 
YES, these hoes like niggas that spend money not talk bout it 
YES, we dont trust these niggas all these bitches 
YES, yall niggas b cuffing hoes cause yall aint never have bitches 
