NO,   woman complain cleaning house man always take trash out
YES,   boy dats coldtyga dwn bad cuffin dat hoe st place
YES,   dawg   ever fuck bitch sta cry confused shit
YES,  ganderson based look like tranny
YES,   shit hear might true might faker bitch told 
YES,madisonx shit blows mecla faithful somebody still fucking hoes 
YES,brighterdays sit hate another bitch  got much shit going on
YES, cause  tired big bitches coming us skinny girls
YES, might get bitch back thats 
YES,  hobbies include fighting mariam
YES, keeks bitch curves ever ne  walked conversation like smh
YES, murda gang bitch gang land 
YES, hoes smoke losers   yea  go ig
YES, bad bitches thing like 
YES, bitch get 
YES, bitch nigga miss 
YES, bitch plz whatever 
YES, bitch love 
YES, bitches get cut everyday 
YES, black bottle bad bitch 
YES, broke bitch cant tell nothing 
YES, cancel bitch like nino 
YES, cant see hoes change 
YES, fuck bitch even suck dick   kermit videos bout fuck ig up
YES, got bitch tip toeing hardwood floors   
YES, pussy lips like heaven doors  
YES, hoe hitting 
YES, met pussy ocean dr  gave pussy pill  
YES, need trippy bitch fuck hennessy 
YES, spend money want bitch business 
YES, txt old bitch new bitch pussy wetter 
YES, id say  back old old bitches would get excited  
YES, aint bout murder game pussy nigga shut 
YES, toes aint done pussy stinks 
YES,  done bitter bitches wrap  angry bird theres app 
YES, bitch 
YES, aint nothing cut bitch 
YES, jus meet son mane ass bitches  shots
YES, lames crying hoes thats tears clown 
YES, like snoop said  love hoes 
NO, momma said pussy cats inside doghouse 
YES, hated hoes favorite  mw sevenone  
YES, nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick 
YES, pimps pimps hoes  future voice
YES, post picture pussy get  likes 
YES, pussy powerful drug   happyhumpday 
YES, quick piece pussy call drive 
YES, running round like brand new pussy thats bout get fucked 
YES, bitches even worst theyll send guys 
YES, hoes like niggas spend money talk bout 
YES, trust niggas bitches 
YES, yall niggas cuffing hoes cause yall aint never bitches 
YES, dodge bullet    da bitches cut pregnant bound thank god 
YES,  ung pill chamberlain bitches love music 
YES, teanna trump probably cleaner twitter hoes but
YES, gay niggas wait act like bitches tonight
