NO,   woman complain clean hous man alway take trash out
YES,   boy dat coldtyga dwn bad cuffin dat hoe st place
YES,   dawg   ever fuck bitch sta cri confus shit
YES,  ganderson base look like tranni
YES,   shit hear might true might faker bitch told 
YES,madisonx shit blow mecla faith somebodi still fuck hoe 
YES,brighterday sit hate anoth bitch  got much shit go on
YES, caus  tire big bitch come us skinni girl
YES, might get bitch back that 
YES,  hobbi includ fight mariam
YES, keek bitch curv ever ne  walk convers like smh
YES, murda gang bitch gang land 
YES, hoe smoke loser   yea  go ig
YES, bad bitch thing like 
YES, bitch get 
YES, bitch nigga miss 
YES, bitch plz whatev 
YES, bitch love 
YES, bitch get cut everyday 
YES, black bottl bad bitch 
YES, broke bitch cant tell noth 
YES, cancel bitch like nino 
YES, cant see hoe chang 
YES, fuck bitch even suck dick   kermit video bout fuck ig up
YES, got bitch tip toe hardwood floor   
YES, pussi lip like heaven door  
YES, hoe hit 
YES, met pussi ocean dr  gave pussi pill  
YES, need trippi bitch fuck hennessi 
YES, spend money want bitch busi 
YES, txt old bitch new bitch pussi wetter 
YES, id say  back old old bitch would get excit  
YES, aint bout murder game pussi nigga shut 
YES, toe aint done pussi stink 
YES,  done bitter bitch wrap  angri bird there app 
YES, bitch 
YES, aint noth cut bitch 
YES, jus meet son mane ass bitch  shot
YES, lame cri hoe that tear clown 
YES, like snoop said  love hoe 
NO, momma said pussi cat insid doghous 
YES, hate hoe favorit  mw sevenon  
YES, nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick 
YES, pimp pimp hoe  futur voic
YES, post pictur pussi get  like 
YES, pussi power drug   happyhumpday 
YES, quick piec pussi call drive 
YES, run round like brand new pussi that bout get fuck 
YES, bitch even worst theyll send guy 
YES, hoe like nigga spend money talk bout 
YES, trust nigga bitch 
YES, yall nigga cuf hoe caus yall aint never bitch 
YES, dodg bullet    da bitch cut pregnant bound thank god 
YES,  ung pill chamberlain bitch love music 
YES, teanna trump probabl cleaner twitter hoe but
YES, gay nigga wait act like bitch tonight
YES,paradox ima steal cat n replac pitbul    paradox bitch it
YES,amp hes gone alway hoe
YES,son bitch took tic tac
YES,all wanna get money fuck model bitch  russel simmon
YES, probabl mind school much deal bitch ass teacher retweet
YES,  fuck fag said
YES, femal think date pussi cute  stuff make pussi
NO, simplyaddictedtoguy  woof hot scalli lad
YES, ever ask bitch bitch  kany voic yes
YES, gone bring side bitch game know gf friend   swear
NO,  woof hot sole
NO, lemmi eat oreo dish one oreo lol
YES,   bitch fuck  mayb get better 
YES, fuck red malon man bitch ass niggah could pleas use complet sentenc
NO, eggplant emoj doey say look like scream lmao
YES, hennessey venom gt   that one sexi bitch
YES, seh pussi wetter shower cuainahmesehwetnessltlmao
YES,hen eaglesn everi eagl need see pic post bitch said racist shit
YES, fuck skateboard yall wood push faggot man ball life 
NO, babi monkey bathtim 
